2026 Best Objects (Adin, 11 Jul 2026)
N_RH_RM_DD_DM
M 31 Andromeda Galaxy 3.4,0,42.7,41,16
eta Cas Achird 3.4,0,49.1,57,49
gam Cas Navi 2.4,0,56.7,60,43
gam1 And Almach 2.1,2,3.9,42,20
NGC 869 Double Cluster 3.7,2,19,57,8
NGC 884 Double Cluster 3.8,2,22.3,57,9
alf UMi Polaris 2.0,2,31.8,89,16
M 81 Bode's Nebulae 6.9,9,55.6,69,4
M 82 Bode's Nebulae 8.3,9,55.9,69,41
zet UMa Mizar 2.2,13,23.9,54,56
M 101 Spiral Galaxy 7.9,14,3.2,54,21
zet1 CrB Double Star 5.0,15,39.4,36,38
zet Her Double Star 2.8,16,41.3,31,36
M 13 Hercules Cluster 5.8,16,41.7,36,28
alf Her Rasalgethi --,17,14.6,14,23
M 92 Globular Cluster 6.5,17,17.1,43,8
IC 4665 Open Cluster 4.2,17,46.2,5,37
HIP 87937 Barnard's Star 9.5,17,57.8,4,42
NGC 6543 Cat's Eye Nebula 9.0,17,58.6,66,38
70 Oph Double Star 4.0,18,5.5,2,30
M 24 Sagittarius Star Cloud 4.5,18,16.8,-18,33
M 16 Eagle Nebula 6.0,18,18.8,-13,48
M 17 Omega Nebula 7.0,18,20.8,-16,10
M 22 Globular Cluster 6.2,18,36.4,-23,54
alf Lyr Vega 0.0,18,36.9,38,47
IC 4756 Open Cluster 4.6,18,38.6,5,26
eps1 Lyr Double Double --,18,44.3,39,40
bet Lyr Sheliak 3.4,18,50.1,33,22
M 11 Wild Duck Cluster 5.8,18,51.1,-6,16
M 57 Ring Nebula 8.8,18,53.6,33,2
the1 Ser Alya 4.6,18,56.2,4,12
Melpomene Asteroid 8.9,19,0.8,-9,48
Flora Asteroid 9.0,19,12.1,-21,52
Cr 399 Coathanger 3.6,19,25.4,20,11
bet2 Cyg Albireo 5.1,19,30.8,27,58
NGC 6818 Little Gem Nebula 9.3,19,44,-14,9
xi Cyg Star 4.2,19,50.6,32,55
alf Aql Altair 0.8,19,50.8,8,52
eta Aql Variable Star 3.8,19,52.5,1,0
M 71 Globular Cluster 6.1,19,53.8,18,47
M 27 Dumbbell Nebula 7.4,19,59.6,22,43
alf1 Cap Algedi Prima 4.3,20,17.6,-12,30
bet1 Cap Dabih Major 3.1,20,21,-14,47
Juno Asteroid 9.3,20,21.1,-3,56
M 29 Open Cluster 6.6,20,23.8,38,29
alf Cyg Deneb 1.2,20,41.4,45,17
NGC 6960 Western Veil Nebula 7.0,20,45.6,30,42
gam1 Del Star 5.0,20,46.6,16,7
Bamberga Asteroid 9.9,20,54.7,-27,33
NGC 6995 Eastern Veil Nebula 7.0,20,57,31,13
NGC 7000 North America Nebula 4.0,20,58.8,44,20
NGC 7009 Saturn Nebula 8.0,21,4.2,-11,22
61 Cyg Star 6.0,21,6.9,38,45
Tempel 2 Comet 13.4,21,22,-15,46
bet Cep Alfirk 3.2,21,28.7,70,34
M 15 Globular Cluster 6.3,21,30,12,10
M 39 Open Cluster 4.6,21,31.6,48,15
M 2 Globular Cluster 6.2,21,33.5,-0,49
M 30 Globular Cluster 7.1,21,40.4,-23,11
zet1 Aqr Double Star 3.7,22,28.8,-0,1
del Cep Variable Star 3.8,22,29.2,58,25
M 52 Open Cluster 6.9,23,24.8,61,35
