Caldwell Objects
N_RH_RM_DD_DM
C1 Open Cluster 8.1,0,44.4,85,20
C2 Planetary Nebula 12.4,0,13,72,32
C3 Spiral Galaxy 9.7,12,16.7,69,28
C4 Bright Nebula --,21,1.8,68,12
C5 Spiral Galaxy 9.2,3,46.8,68,6
C6 Planetary Nebula 8.1,17,58.6,66,38
C7 Spiral Galaxy 8.4,7,36.9,65,36
C8 Open Cluster 9.5,1,29.5,63,18
C9 Bright Nebula --,22,56.8,62,37
C10 Open Cluster 7.1,1,46,61,15
C11 Bright Nebula --,23,20.7,61,12
C12 Spiral Galaxy 8.9,20,34.8,60,9
C13 Open Cluster 6.4,1,19.1,58,20
C14 Open Cluster 4.3,2,20,57,8
C15 Planetary Nebula 8.8,19,44.8,50,31
C16 Open Cluster 6.4,22,15.3,49,53
C17 Elliptical Galaxy 9.3,0,33.2,48,30
C18 Elliptical Galaxy 9.2,0,39,48,20
C19 Bright Nebula --,21,53.5,47,16
C20 Bright Nebula --,20,58.8,44,20
C21 Irregular Galaxy 9.4,12,28.2,44,6
C22 Planetary Nebula 8.3,23,25.9,42,33
C23 Spiral Galaxy 9.9,2,22.6,42,21
C24 Irregular Galaxy 11.6,3,19.8,41,31
C25 Globular Cluster 10.4,7,38.1,38,53
C26 Spiral Galaxy 10.2,12,17.5,37,49
C27 Bright Nebula --,20,12,38,21
C28 Open Cluster 5.7,1,57.8,37,41
C29 Spiral Galaxy 9.8,13,10.9,37,3
C30 Spiral Galaxy 9.5,22,37.1,34,25
C31 Bright Nebula --,5,16.2,34,16
C32 Spiral Galaxy 9.3,12,42.1,32,32
C33 Supernova Remnant --,20,56.4,31,43
C34 Supernova Remnant --,20,45.7,30,43
C35 Elliptical Galaxy 11.4,13,0.1,27,59
C36 Spiral Galaxy 9.8,12,36,27,58
C37 Open Cluster 5.9,20,12,26,29
C38 Spiral Galaxy 9.6,12,36.3,25,59
C39 Planetary Nebula 9.2,7,29.2,20,55
C40 Spiral Galaxy 10.9,11,20.1,18,21
C41 Open Cluster 0.5,4,27,16,0
C42 Globular Cluster 10.6,21,1.5,16,11
C43 Spiral Galaxy 10.5,0,3.3,16,9
C44 Spiral Galaxy 11,23,4.9,12,19
C45 Spiral Galaxy 10.2,13,37.5,8,53
C46 Bright Nebula --,6,39.2,8,44
C47 Globular Cluster 8.9,20,34.2,7,24
C48 Spiral Galaxy 10.3,9,10.3,7,2
C49 Bright Nebula --,6,32.3,5,3
C50 Open Cluster 4.8,6,32.4,4,52
C51 Irregular Galaxy 9.3,1,4.8,2,7
C52 Elliptical Galaxy 9.3,12,48.6,5,48
C53 Elliptical Galaxy 9.1,10,5.2,7,43
C54 Open Cluster 7.6,8,0.2,10,47
C55 Planetary Nebula 8,21,4.2,11,22
C56 Planetary Nebula 10.9,0,47,11,53
C57 Irregular Galaxy 8.8,19,44.9,14,48
C58 Open Cluster 7.2,7,17.8,15,37
C59 Planetary Nebula 7.8,10,24.8,18,38
C60 Spiral Galaxy 10.7,12,1.9,18,52
C61 Spiral Galaxy 10.7,12,1.9,18,53
C62 Spiral Galaxy 9.1,0,47.1,20,46
C63 Planetary Nebula 7.3,22,29.6,20,48
C64 Open Cluster 4.1,7,18.8,24,57
C65 Spiral Galaxy 7.1,0,47.6,25,17
C66 Globular Cluster 10.2,14,39.6,26,32
C67 Spiral Galaxy 9.2,2,46.3,30,17
C68 Bright Nebula --,19,1.9,36,57
C69 Planetary Nebula 9.6,17,13.7,37,6
C70 Spiral Galaxy 8.7,0,54.9,37,41
C71 Open Cluster 5.8,7,52.3,38,33
C72 Spiral Galaxy 7.9,0,14.9,39,11
C73 Globular Cluster 7.3,5,14.1,40,3
C74 Planetary Nebula 9.4,10,7.7,40,26
C75 Open Cluster 5.8,16,25.6,40,40
C76 Open Cluster 2.6,16,54,41,48
C77 Elliptical Galaxy 7,13,25.5,43,1
C78 Globular Cluster 6.6,18,8,43,42
C79 Globular Cluster 6.7,10,17.6,46,25
C80 Globular Cluster 3.6,13,26.8,47,29
C81 Globular Cluster 8.1,17,25.5,48,25
C82 Open Cluster 5.2,16,41.3,48,46
C83 Spiral Galaxy 8.7,13,5.4,49,28
C84 Globular Cluster 7.6,13,46.4,51,22
C85 Open Cluster 2.5,8,40.2,53,4
C86 Globular Cluster 5.6,17,40.7,53,40
C87 Globular Cluster 8.4,3,12.3,55,13
C88 Open Cluster 7.9,15,5.7,55,36
C89 Open Cluster 5.4,16,18.9,57,54
C90 Planetary Nebula --,9,21.4,58,19
C91 Open Cluster 3,11,6.4,58,40
C92 Bright Nebula --,10,43.8,59,52
C93 Globular Cluster 5.4,19,10.9,59,59
C94 Open Cluster 4.2,12,53.6,60,20
C95 Open Cluster 5.1,16,3.7,60,30
C96 Open Cluster 3.8,7,58.3,60,52
C97 Open Cluster 5.3,11,36.1,61,37
C98 Open Cluster 6.9,12,42.3,62,58
C99 Dark Nebula --,12,53,63,0
C100 Open Cluster 4.5,11,36.6,63,2
C101 Spiral Galaxy 8.3,19,9.8,63,51
C102 Open Cluster 1.9,10,43.2,64,24
C103 Bright Nebula --,5,38.7,69,6
C104 Globular Cluster 6.6,1,3.2,70,51
C105 Globular Cluster 7.3,12,59.6,70,53
C106 Globular Cluster 4,0,24.1,72,5
C107 Globular Cluster 9.3,16,25.8,72,12
C108 Globular Cluster 7.8,12,25.8,72,40
C109 Planetary Nebula --,10,9.5,80,52
